start_date,end_date,q01,q02,q04_01,q04_02,q04_03,q04_04,q04_05,q04_06,q05,q07_01,q07_02,q07_03,q07_04,q07_05,q07_06,q07_07,q07_08,q07_09,q07_10,q07_11,q08_01,q08_02,q08_03,q08_04,q08_05,q08_06,q08_07,q08_08,q08_09,q08_10,q08_11,q08_12,q10_01,q10_02,q10_03,q10_04,q10_05,q10_06,q10_07,q10_08,q11_01,q11_02,q11_03,q11_04,q11_05,q12_01,q12_02,q12_03,q12_04,q12_05,q12_06,q12_07,q13,q14,q15,q17,q18,q19_01,q19_02,q19_03,q19_04,q19_05,q19_06,q19_07,q20_01,q20_02,q20_03,q20_04,q20_05,q20_06,q21_01,q21_02,q21_03,q21_04,q22,q24,q25_01,q25_02,q25_03,q26,q28,q29,q30,q34,q35,racethn4,educ4,age3,has_children,orientation,weight,is_employed,employment_status,os,device
2018-05-10 04:01:00,2018-05-10 04:06:00,2,2,False,False,False,True,False,False,True,4,4,4,4,0,0,4,3,3,0,4,False,False,True,False,False,False,False,False,True,True,False,False,,,,,,,,,,,,,,,,,,,,,,-1,,True,2,,,,,,,,True,True,True,True,True,False,False,False,False,True,False,2,False,False,True,1,2,4,32,0,2,Hispanic,College or more,35 - 64,False,Gay/Bisexual,1.714025972,False,not looking for work,Windows,Desktop / Laptop
2018-05-10 06:30:00,2018-05-10 06:53:00,2,2,True,False,False,False,False,False,True,2,3,1,2,0,2,0,4,0,3,-1,False,True,False,False,False,False,False,True,True,False,False,False,,,,,,,,,,,,,,,,,,,,,,-1,,False,1,,,,,,,,False,False,False,False,False,True,False,False,False,True,False,4,False,True,False,3,4,3,35,8,0,White,Some college,65 and up,True,Straight,1.2471201159999998,False,retired,iOS,Phone / Tablet
2018-05-10 07:02:00,2018-05-10 07:09:00,3,1,True,False,False,False,False,True,False,3,3,3,2,1,4,0,2,3,2,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,,3,False,True,2,,,,,,,,False,False,False,True,False,False,False,False,False,True,False,1,False,True,False,3,4,4,22,8,0,White,College or more,35 - 64,True,Straight,0.515746057,True,working full-time,Windows,Desktop / Laptop
2018-05-10 07:27:00,2018-05-10 07:31:00,3,1,True,True,True,False,False,False,False,2,2,3,2,2,4,0,0,2,0,0,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,,,,,,-1,,True,4,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,,1,False,True,False,-1,4,3,14,8,0,White,Some college,65 and up,True,No answer,0.6006400789999999,False,retired,Windows,Desktop / Laptop
2018-05-10 07:35:00,2018-05-10 07:42:00,3,3,False,False,True,False,False,False,True,3,2,0,1,1,3,0,4,2,1,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,,3,True,False,4,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,2,False,False,True,3,4,4,35,8,0,White,College or more,35 - 64,False,Straight,1.0334004540000001,True,working full-time,Windows,Desktop / Laptop
2018-05-10 08:25:00,2018-05-10 08:34:00,3,2,True,False,False,False,False,False,True,1,3,3,2,1,4,0,3,4,1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,,1,False,False,4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,1,False,True,False,3,4,5,14,6,0,White,Post graduate degree,65 and up,True,Straight,0.059086640999999995,True,working full-time,Windows,Desktop / Laptop
2018-05-10 08:29:00,2018-05-10 08:41:00,2,1,True,True,True,False,True,False,False,3,3,0,2,2,2,0,3,3,0,2,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,,0,,True,2,,,,,,,,True,True,True,True,False,False,False,False,False,True,False,2,False,True,False,1,3,5,11,7,7,Other,Post graduate degree,18 - 34,True,Gay/Bisexual,0.257359715,True,working full-time,Windows,Desktop / Laptop
2018-05-10 10:04:00,2018-05-10 10:11:00,2,2,True,False,False,True,True,False,True,2,2,0,1,0,4,0,3,3,1,2,False,True,False,True,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,-1,,True,3,False,False,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,True,1,False,False,True,3,4,4,32,4,2,White,College or more,65 and up,False,Straight,0.6564900539999999,False,retired,Windows,Desktop / Laptop
2018-05-10 11:00:00,2018-05-10 11:07:00,3,0,True,False,False,False,True,False,False,3,3,3,3,1,4,0,4,3,0,2,False,True,True,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,,2,False,False,4,True,False,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,1,True,False,False,3,2,3,4,2,5,Hispanic,Some college,35 - 64,True,Straight,4.341850255,True,working full-time,iOS,Phone / Tablet
2018-05-11 12:36:00,2018-05-11 12:43:00,2,2,True,False,False,True,False,True,False,3,2,0,2,0,4,0,4,2,1,3,False,True,False,True,False,True,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,,2,False,True,4,True,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,1,False,False,True,3,4,5,37,4,5,White,Post graduate degree,35 - 64,False,Straight,0.057482292000000004,True,working full-time,iOS,Phone / Tablet
2018-05-11 03:07:00,2018-05-11 03:16:00,3,2,True,True,True,True,True,True,False,3,2,2,2,1,3,0,2,2,2,1,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True,False,False,You weren`t sure it was sexual harassment,2,False,True,4,True,False,False,False,False,False,False,True,False,True,True,True,False,True,False,False,False,False,1,True,True,False,3,4,4,22,2,0,White,College or more,35 - 64,True,Straight,0.5007129029999999,True,working full-time,Windows,Desktop / Laptop
2018-05-11 05:18:00,2018-05-11 05:33:00,2,1,True,False,False,False,False,False,True,1,3,4,2,0,3,0,3,2,3,3,False,False,False,False,False,False,False,True,True,True,True,False,,,,,,,,,,,,,,,,,,,,,,-1,,True,3,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,1,False,False,True,3,4,3,40,7,6,White,Some college,35 - 64,False,Straight,0.617906017,False,not looking for work,,
